051256849-36;Renato B E Lacerda;RLace051;Lac300
086997430-37;Lucas C E Vianna;LVian086;Via257
077794126-74;Ítalo F B Pires;ÍPire077;Pir663
084753901-43;Stephanie C C Freire;SFrei084;Fre275
113172754-74;Arthur A A Braga;ABrag113;Bra551
071817976-12;Arthur C D Pires;APire071;Pir980
058753814-95;Eric E F Alves;EAlve058;Alv995
055471639-99;Hugo B C Ritschel;HRits055;Rit306
040613806-64;Albert A A Pires;APire040;Pir721
107416783-36;Geovanna F E Lacerda;GLace107;Lac666
058002478-29;Clarissa D A Lacerda;CLace058;Lac467
073095386-25;Renato F C Fraga;RFrag073;Fra524
060498806-73;Helena D C Couto;HCout060;Cou111
103241782-55;Ítalo B C Matos;ÍMato103;Mat169
113824904-16;Albert G D Ramos;ARamo113;Ram353
107509040-98;Larissa C B Mayrink;LMayr107;May238
083543936-83;Ronilson B A Leite;RLeit083;Lei893
095784005-74;Matheus B F Viçoso;MViço095;Viç298
095594127-72;Joao G E Cruz;JCruz095;Cru146
083472915-51;Carlos B F Souza;CSouz083;Sou998
076316159-84;Daniel A B Fernandes;DFern076;Fer715
051434244-25;Luis A B Braga;LBrag051;Bra312
108799893-30;Lucas A C Ramos;LRamo108;Ram826
109992417-36;Fabio G F Mozany;FMoza109;Moz425
048535836-05;Geovanna B B Mayrink;GMayr048;May997
045143973-27;Carlos A A Mayrink;CMayr045;May910
054216644-19;Arthur C F Fraga;AFrag054;Fra603
056871940-67;Joao B D Nunes;JNune056;Nun487
073204306-68;Erik F C Mayrink;EMayr073;May809
079357565-17;Gabriel C B Assis;GAssi079;Ass834
098107186-30;Dario E F Leite;DLeit098;Lei886
112224706-52;Clarissa E A Guimarães;CGuim112;Gui691
087699864-96;Renato A B Lima;RLima087;Lim782
055879045-99;Matheus C A Mayrink;MMayr055;May181
064478732-15;Raissa F D Mozany;RMoza064;Moz517
077228770-49;Lucas F E Lima;LLima077;Lim349
047842626-49;Helena G E Leão;HLeão047;Leã962
075341598-66;Petrônio G G Borges;PBorg075;Bor212
074893205-99;Vinicius B A Ramos;VRamo074;Ram807
051476243-03;Maria C E Campos;MCamp051;Cam276
046276437-49;Erckson C G Pinho;EPinh046;Pin937
093682085-62;Arthur A G Couto;ACout093;Cou195
063695872-59;Raissa A B Viçoso;RViço063;Viç295
044693541-30;Stephanie E C Matos;SMato044;Mat868
064321754-91;Ítalo E D Ritschel;ÍRits064;Rit123
073241051-95;Larissa G F Fraga;LFrag073;Fra927
083131041-62;Arthur G G Cruz;ACruz083;Cru121
060165596-97;Ronilson A B Neves;RNeve060;Nev598
085995704-44;Gustavo C F Amaral;GAmar085;Ama133
102852657-90;Gabriel D C Silva;GSilv102;Sil222
085964769-65;Petrônio C A Couto;PCout085;Cou608
075644702-93;Davi E D Matos;DMato075;Mat519
056838860-49;Stephanie F E Mayrink;SMayr056;May618
051134976-45;Pedro B C Lutkenhaus;PLutk051;Lut799
057074675-11;Vinicius D G Mayrink;VMayr057;May944
069129167-45;Matheus D A Silva;MSilv069;Sil864
049176776-60;Stephany D C Vianna;SVian049;Via774
106121455-45;Erik A G Guerra;EGuer106;Gue490
109601355-92;Joao B B Assis;JAssi109;Ass135
077590819-55;Felipe C G Matos;FMato077;Mat678
071104775-59;Petrônio G D Campos;PCamp071;Cam502
058170779-73;Daniel A D Nunes;DNune058;Nun646
079721506-26;Petrônio C B Leão;PLeão079;Leã343
043947311-07;Erckson D A Fernandes;EFern043;Fer730
072516776-79;Guilherme G F Pires;GPire072;Pir495
040731374-03;Lucas D C Leão;LLeão040;Leã850
047351047-32;Larissa C B Nascimento;LNasc047;Nas812
066949220-59;Albert E F Leite;ALeit066;Lei401
100386546-32;Stephany C A Mayrink;SMayr100;May922
077447760-45;Felipe C E Freire;FFrei077;Fre377
086454013-19;Felipe B F Batista;FBati086;Bat873
045564544-81;Davi E D Lacerda;DLace045;Lac192
092959706-66;Fabio G F Leão;FLeão092;Leã724
087716238-60;Renato F F Lacerda;RLace087;Lac807
052606867-03;Maria E C Freire;MFrei052;Fre293
104647478-99;Stephany G D Fraga;SFrag104;Fra428
056375377-50;Petrônio G D Oliveira;POliv056;Oli548
080456436-76;Joao E E Campos;JCamp080;Cam144
104823350-98;Daniel G B Vianna;DVian104;Via930
056620337-34;Clarissa C B Soares;CSoar056;Soa340
057566937-13;Vinicius B G Amaral;VAmar057;Ama915
066136597-96;Larissa D A Soares;LSoar066;Soa680
101215703-48;Renato D G Leite;RLeit101;Lei842
053924168-49;Joao A G Amaral;JAmar053;Ama585
044761750-23;Carlos D C Assis;CAssi044;Ass245
055262787-93;Erckson F E Leão;ELeão055;Leã252
079024102-77;Ana E E Lacerda;ALace079;Lac593
113287755-08;Luis G D Lima;LLima113;Lim806
043002549-97;Ian C C Ritschel;IRits043;Rit637
095939045-78;Pedro G A Soares;PSoar095;Soa823
081122272-72;Luis D G Couto;LCout081;Cou522
055963300-51;Ítalo C A Nunes;ÍNune055;Nun934
043860185-97;Carlos D B Gomes;CGome043;Gom370
077317564-12;Weslley A E Ritschel;WRits077;Rit394
110304421-63;Larissa A B Guerra;LGuer110;Gue366
113158865-27;Arthur B D Cruz;ACruz113;Cru596
063720488-16;Carlos A E Soares;CSoar063;Soa596
059273544-61;Vinicius F A Nascimento;VNasc059;Nas992
086259170-68;Davi C F Silva;DSilv086;Sil810
060152756-06;Ian C B Fraga;IFrag060;Fra699
075753693-30;Petrônio C A Lacerda;PLace075;Lac324
107912041-10;Geovanna C E Matos;GMato107;Mat746
084697752-45;Fabio E A Campos;FCamp084;Cam990
064486609-46;Joao G F Lacerda;JLace064;Lac667
091387937-51;Arthur C F Freire;AFrei091;Fre826
045310957-38;Hugo F G Guerra;HGuer045;Gue846
068762692-09;Renato D B Soares;RSoar068;Soa802
096496887-17;Geovanna A G Guimarães;GGuim096;Gui919
069423322-90;Guilherme D E Mozany;GMoza069;Moz698
074822945-94;Albert C D Leão;ALeão074;Leã241
051008354-58;Guilherme D A Matos;GMato051;Mat606
114268133-20;Hugo D F Mayrink;HMayr114;May655
098061361-07;Guilherme B A Ramos;GRamo098;Ram865
061977296-91;Petrônio C G Santos;PSant061;San238
075959761-13;Erik A F Nascimento;ENasc075;Nas449
055608147-78;Clarissa F E Guimarães;CGuim055;Gui683
080981755-47;Ítalo F C Pires;ÍPire080;Pir178
091967878-06;Ítalo F F Pinho;ÍPinh091;Pin949
105947276-34;Helena D G Ramos;HRamo105;Ram267
111071760-13;Gustavo D C Gomes;GGome111;Gom720
077216196-34;Arthur D B Mozany;AMoza077;Moz979
061669695-60;Matheus F C Lima;MLima061;Lim219
091945444-31;Felipe B C Santos;FSant091;San992
097455376-91;Gustavo B D Cruz;GCruz097;Cru323
095647363-90;Dario B A Leão;DLeão095;Leã116
048023104-28;Ana E C Silva;ASilv048;Sil755
089657539-53;Stephanie G A Silva;SSilv089;Sil976
098243650-97;Arthur C F Pires;APire098;Pir173
089620723-57;Arthur E B Silva;ASilv089;Sil766
091781729-62;Fabio E D Cruz;FCruz091;Cru760
067387400-86;Renato C F Lacerda;RLace067;Lac490
044420557-26;Felipe C C Borges;FBorg044;Bor693
065002769-53;Joao F G Guimarães;JGuim065;Gui155
049597238-33;Lucas E A Mozany;LMoza049;Moz254
066697709-82;Ronilson F E Gomes;RGome066;Gom947
051714780-02;Petrônio D E Matos;PMato051;Mat287
048124451-63;Pedro D F Abdalla;PAbda048;Abd723
061476322-12;Renato F E Nunes;RNune061;Nun567
077877603-12;Joao G F Fernandes;JFern077;Fer506
075273438-40;Daniel C G Fraga;DFrag075;Fra214
045831906-15;Lucas G F Lima;LLima045;Lim797
068587013-85;Raissa F B Santos;RSant068;San856
091469277-09;Daniel D F Leão;DLeão091;Leã302
053824690-38;Davi G F Mozany;DMoza053;Moz396
108076805-83;Joao A A Abdalla;JAbda108;Abd730
040505389-17;Dario A G Fraga;DFrag040;Fra918
108241842-94;Renato G B Soares;RSoar108;Soa494
107724545-09;Ronilson E C Nascimento;RNasc107;Nas694
105889318-43;Stephanie B B Ramos;SRamo105;Ram245
108099865-87;Raissa E C Couto;RCout108;Cou244
048891195-71;Hugo G F Souza;HSouz048;Sou741
109234705-08;Gabriel G D Nunes;GNune109;Nun405
074697584-62;Arthur B D Pinho;APinh074;Pin608
100349629-23;Stephany A E Braga;SBrag100;Bra300
114032166-50;Gustavo E C Neves;GNeve114;Nev618
111749985-84;Clarissa B D Pinho;CPinh111;Pin642
047879278-61;Joao A G Gomes;JGome047;Gom418
107669550-71;Fabio A F Nascimento;FNasc107;Nas988
081478911-74;Vinicius E C Soares;VSoar081;Soa513
112597615-61;Daniel C D Freire;DFrei112;Fre261
084771114-52;Stephany C A Pinho;SPinh084;Pin862
089272614-83;Felipe G A Borges;FBorg089;Bor360
054801855-76;Davi A G Gomes;DGome054;Gom414
079066466-76;Guilherme B G Fraga;GFrag079;Fra678
105777270-24;Stephany D A Leite;SLeit105;Lei685
110049964-51;Joao B C Leite;JLeit110;Lei770
091356028-61;Fabio A E Assis;FAssi091;Ass673
070459713-10;Erik G F Braga;EBrag070;Bra371
092509020-47;Erik A B Neves;ENeve092;Nev624
055954078-97;Albert A F Santos;ASant055;San168
061076695-54;Albert B D Pires;APire061;Pir727
081026160-01;Daniel F C Campos;DCamp081;Cam496
113997041-92;Matheus B B Alves;MAlve113;Alv896
059648152-09;Stephany G D Silva;SSilv059;Sil815
082646653-15;Arthur F F Freire;AFrei082;Fre314
095373735-40;Leonardo D F Lacerda;LLace095;Lac483
056582440-68;Guilherme F F Cruz;GCruz056;Cru273
044746790-75;Gabriel F A Matos;GMato044;Mat627
074094255-22;Daniel E G Silva;DSilv074;Sil895
049488223-34;Weslley F F Gomes;WGome049;Gom399
084694372-90;Felipe C C Matos;FMato084;Mat288
049110607-34;Davi D G Neves;DNeve049;Nev764
090053112-20;Arthur A G Guerra;AGuer090;Gue716
050218779-93;Ítalo D E Assis;ÍAssi050;Ass268
065963052-69;Carlos D F Braga;CBrag065;Bra409
056632958-00;Luis D B Soares;LSoar056;Soa548
069520475-25;Matheus G C Leite;MLeit069;Lei551
050121553-70;Eric F D Pinho;EPinh050;Pin475
043712738-85;Fabio E E Alves;FAlve043;Alv377
051529379-77;Felipe C D Ramos;FRamo051;Ram204
087584221-12;Geovanna D D Nunes;GNune087;Nun291
068860221-26;Ronilson D B Soares;RSoar068;Soa772
075211483-31;Helena D B Pires;HPire075;Pir796
090110972-83;Maria C B Gomes;MGome090;Gom304
059422181-49;Helena D F Neves;HNeve059;Nev851
045064594-45;Ana D D Leite;ALeit045;Lei942
069056965-87;Eric B G Borges;EBorg069;Bor717
114109593-97;Felipe A G Batista;FBati114;Bat708
100864920-03;Raissa G A Vianna;RVian100;Via940
066587793-50;Eric E A Cruz;ECruz066;Cru800
113678355-97;Ian E E Lutkenhaus;ILutk113;Lut443
109109215-84;Larissa C G Guerra;LGuer109;Gue316
067256837-02;Renato C F Ritschel;RRits067;Rit226
110954417-86;Ítalo C D Alves;ÍAlve110;Alv575
084628565-66;Maria C B Campos;MCamp084;Cam105
104218275-17;Ian F E Matos;IMato104;Mat134
101262401-28;Ian B A Amaral;IAmar101;Ama841
112575313-44;Ian C F Assis;IAssi112;Ass613
060754941-89;Geovanna D D Neves;GNeve060;Nev660
084656879-76;Erckson B A Ritschel;ERits084;Rit671
097339269-38;Ian G E Soares;ISoar097;Soa869
070416342-86;Ian G A Ritschel;IRits070;Rit982
059814120-99;Larissa C A Guerra;LGuer059;Gue104
076485629-24;Ian D F Guerra;IGuer076;Gue661
065967860-27;Helena F E Campos;HCamp065;Cam236
059477738-67;Weslley F A Fernandes;WFern059;Fer140
052993692-72;Albert F F Assis;AAssi052;Ass962
088643329-72;Joao C E Matos;JMato088;Mat784
040427276-16;Clarissa F E Lutkenhaus;CLutk040;Lut977
087617398-68;Stephany G C Matos;SMato087;Mat685
059958230-71;Carlos F E Matos;CMato059;Mat989
076366117-60;Gustavo G F Lacerda;GLace076;Lac224
046172939-55;Ronilson E F Gomes;RGome046;Gom478
091715520-60;Raissa A C Viçoso;RViço091;Viç937
109437128-09;Daniel E E Mozany;DMoza109;Moz550
063326533-13;Renato D B Santos;RSant063;San170
103261362-48;Daniel F E Soares;DSoar103;Soa965
061289405-91;Joao G B Borges;JBorg061;Bor117
094545945-22;Stephany C G Fernandes;SFern094;Fer232
055120761-61;Gabriel E D Neves;GNeve055;Nev815
041717914-11;Stephanie D E Lima;SLima041;Lim863
106541657-78;Dario C C Leite;DLeit106;Lei760
099810684-55;Leonardo D B Couto;LCout099;Cou304
059040134-54;Luis G B Pinho;LPinh059;Pin606
050018065-96;Raissa G B Lutkenhaus;RLutk050;Lut809
062323962-20;Ronilson B D Neves;RNeve062;Nev722
072316772-90;Eric A E Pires;EPire072;Pir996
044848442-69;Weslley E G Braga;WBrag044;Bra226
084604554-40;Gustavo F D Batista;GBati084;Bat861
088978221-87;Joao D E Pinho;JPinh088;Pin773
108191511-94;Ronilson D A Pires;RPire108;Pir343
044225986-61;Clarissa E A Matos;CMato044;Mat460
065900589-40;Lucas C E Fraga;LFrag065;Fra863
047198375-63;Maria F A Guimarães;MGuim047;Gui911
067181542-08;Dario C E Souza;DSouz067;Sou786
050543670-78;Vinicius A G Lacerda;VLace050;Lac177
082710270-60;Gustavo B F Souza;GSouz082;Sou533
069951424-84;Arthur E D Borges;ABorg069;Bor249
063613125-63;Vinicius G C Silva;VSilv063;Sil725
106715218-64;Helena A E Vianna;HVian106;Via524
067521570-22;Weslley E B Alves;WAlve067;Alv579
101594418-50;Leonardo B G Fernandes;LFern101;Fer813
105748840-57;Guilherme F G Gomes;GGome105;Gom682
044976458-65;Vinicius B F Lutkenhaus;VLutk044;Lut710
065296597-45;Stephany B B Nascimento;SNasc065;Nas519
109164147-05;Ana D A Guimarães;AGuim109;Gui354
100879659-70;Ian C C Couto;ICout100;Cou440
050985084-01;Ana G F Mayrink;AMayr050;May441
044237682-59;Dario B A Mozany;DMoza044;Moz747
106780400-66;Dario C D Ritschel;DRits106;Rit376
062325968-22;Larissa F D Leão;LLeão062;Leã128
105696678-40;Eric C E Alves;EAlve105;Alv813
068114767-25;Pedro B G Borges;PBorg068;Bor237
072179074-39;Ana B F Abdalla;AAbda072;Abd716
053601139-30;Daniel F G Ritschel;DRits053;Rit133
089751401-31;Helena D C Braga;HBrag089;Bra470
114231677-85;Maria G D Ritschel;MRits114;Rit902
068860950-49;Guilherme E D Amaral;GAmar068;Ama586
048951558-66;Erik B D Gomes;EGome048;Gom563
089517149-03;Ronilson G G Abdalla;RAbda089;Abd336
103170410-14;Pedro F E Ramos;PRamo103;Ram246
041233805-49;Luis E C Moreira;LMore041;Mor476
063092281-14;Petrônio C D Assis;PAssi063;Ass926
114532021-33;Albert A B Batista;ABati114;Bat680
073188802-88;Maria G E Ramos;MRamo073;Ram423
066079729-42;Joao A A Amaral;JAmar066;Ama650
064578536-29;Stephany E F Pires;SPire064;Pir702
102906817-04;Gustavo F C Fraga;GFrag102;Fra515
065593470-72;Carlos B C Cruz;CCruz065;Cru682
113906083-08;Vinicius D C Silva;VSilv113;Sil931
060399702-21;Clarissa C G Silva;CSilv060;Sil691
056335599-39;Maria C D Freire;MFrei056;Fre399
049131447-09;Pedro A E Alves;PAlve049;Alv797
112904945-75;Pedro C F Pires;PPire112;Pir468
049882936-32;Ian F B Braga;IBrag049;Bra252
101244672-67;Ronilson B B Abdalla;RAbda101;Abd500
057379214-51;Eric B A Oliveira;EOliv057;Oli566
100041465-11;Daniel E A Fraga;DFrag100;Fra909
041860683-46;Erik A B Mozany;EMoza041;Moz420
053104900-23;Davi A D Pires;DPire053;Pir804
040128741-51;Felipe B F Silva;FSilv040;Sil210
083081684-96;Eric F C Braga;EBrag083;Bra744
040187076-08;Ian D G Leão;ILeão040;Leã256
060518105-22;Dario A D Leão;DLeão060;Leã305
083764869-61;Davi D C Cruz;DCruz083;Cru608
105849317-49;Gustavo F B Nunes;GNune105;Nun620
107405881-61;Luis E D Abdalla;LAbda107;Abd565
081403968-07;Felipe D B Ritschel;FRits081;Rit270
092195451-83;Arthur G D Fernandes;AFern092;Fer143
098037166-34;Dario F D Silva;DSilv098;Sil265
048789747-74;Leonardo G B Alves;LAlve048;Alv375
049183518-58;Hugo F B Leão;HLeão049;Leã390
063361524-10;Davi D G Guerra;DGuer063;Gue153
114003535-78;Ronilson E F Campos;RCamp114;Cam710
089071862-65;Larissa B C Borges;LBorg089;Bor677
099689447-22;Albert E F Ritschel;ARits099;Rit129
106726151-84;Geovanna B B Pires;GPire106;Pir490
063293336-35;Luis F A Abdalla;LAbda063;Abd585
105291017-04;Leonardo B D Amaral;LAmar105;Ama808
063911315-08;Leonardo F C Alves;LAlve063;Alv560
085573237-18;Fabio G G Lacerda;FLace085;Lac797
077724176-68;Ana D A Pires;APire077;Pir872
043627659-65;Stephanie E A Mayrink;SMayr043;May526
070006493-79;Eric E G Cruz;ECruz070;Cru394
055661607-08;Dario E B Couto;DCout055;Cou550
049619926-54;Davi B A Batista;DBati049;Bat441
086078429-15;Fabio G F Moreira;FMore086;Mor299
078595527-14;Erik D D Nascimento;ENasc078;Nas277
087299861-43;Stephany B G Matos;SMato087;Mat416
080578396-99;Renato B D Alves;RAlve080;Alv640
078611678-66;Maria E C Moreira;MMore078;Mor575
059882727-80;Felipe D F Nunes;FNune059;Nun576
065521198-34;Luis B E Ritschel;LRits065;Rit682
097832514-33;Maria A E Nunes;MNune097;Nun866
078230662-02;Geovanna E B Fraga;GFrag078;Fra307
045139389-05;Lucas B E Pinho;LPinh045;Pin104
079115405-68;Raissa A C Neves;RNeve079;Nev913
061060299-45;Stephany E C Braga;SBrag061;Bra200
047018617-00;Luis D G Gomes;LGome047;Gom137
091852877-56;Weslley B C Borges;WBorg091;Bor614
052758205-73;Gustavo D D Lutkenhaus;GLutk052;Lut699
088304979-54;Stephanie E F Souza;SSouz088;Sou210
073505773-15;Vinicius B F Soares;VSoar073;Soa982
083875927-84;Albert A A Moreira;AMore083;Mor649
054093793-36;Eric G G Leão;ELeão054;Leã266
105866407-66;Ian A E Lacerda;ILace105;Lac269
076471444-33;Lucas F G Souza;LSouz076;Sou349
052581543-32;Vinicius A D Batista;VBati052;Bat615
073912982-82;Erik B F Ramos;ERamo073;Ram817
075070912-14;Maria E B Fraga;MFrag075;Fra675
087991983-46;Joao D D Freire;JFrei087;Fre622
050351625-29;Erckson D F Souza;ESouz050;Sou195
099660255-43;Arthur A E Freire;AFrei099;Fre533
085942425-38;Arthur E G Ramos;ARamo085;Ram483
087500195-57;Matheus C D Freire;MFrei087;Fre958
082610591-49;Maria C G Batista;MBati082;Bat792
043529585-31;Raissa G E Lima;RLima043;Lim891
080819250-85;Eric F F Couto;ECout080;Cou716
085293560-43;Hugo A D Batista;HBati085;Bat201
048218185-47;Geovanna G D Nunes;GNune048;Nun467
090124682-02;Joao D C Lima;JLima090;Lim383
066120141-60;Weslley E E Pinho;WPinh066;Pin771
108007646-24;Felipe D A Soares;FSoar108;Soa468
040694618-25;Daniel E A Lacerda;DLace040;Lac833
113207017-34;Hugo G B Soares;HSoar113;Soa784
065609890-80;Guilherme A B Ritschel;GRits065;Rit362
040845516-39;Erik E B Ramos;ERamo040;Ram574
080275234-03;Erckson G G Soares;ESoar080;Soa124
046057005-32;Vinicius E C Leão;VLeão046;Leã971
077377003-69;Maria A C Couto;MCout077;Cou782
042507975-70;Stephany C F Lutkenhaus;SLutk042;Lut996
106921983-78;Leonardo A E Assis;LAssi106;Ass649
058193127-52;Davi E C Souza;DSouz058;Sou711
094226167-05;Renato G G Braga;RBrag094;Bra444
100943235-17;Weslley G D Soares;WSoar100;Soa180
055837819-57;Helena E D Souza;HSouz055;Sou865
075444573-25;Dario F G Vianna;DVian075;Via907
081711596-40;Stephany C E Guerra;SGuer081;Gue959
071805356-83;Guilherme A A Fernandes;GFern071;Fer229
090034752-65;Lucas F F Silva;LSilv090;Sil739
107477824-28;Clarissa C A Freire;CFrei107;Fre980
061968531-60;Ian C E Borges;IBorg061;Bor474
091550053-03;Ian G A Fraga;IFrag091;Fra250
059543731-29;Geovanna D C Oliveira;GOliv059;Oli549
068537252-02;Maria A E Silva;MSilv068;Sil268
049218090-79;Gabriel D C Freire;GFrei049;Fre674
067336938-56;Gabriel G C Batista;GBati067;Bat853
073969801-56;Ian C A Silva;ISilv073;Sil397
083039834-02;Petrônio A D Matos;PMato083;Mat426
092612045-10;Matheus E C Oliveira;MOliv092;Oli689
050779319-10;Leonardo C C Guimarães;LGuim050;Gui319
091559748-24;Clarissa A D Abdalla;CAbda091;Abd678
059014670-82;Arthur C C Fernandes;AFern059;Fer843
086149014-31;Daniel B D Cruz;DCruz086;Cru181
101364925-73;Gabriel F D Santos;GSant101;San221
093629831-45;Luis E C Souza;LSouz093;Sou284
072966973-69;Petrônio G B Souza;PSouz072;Sou159
064254583-11;Carlos B F Freire;CFrei064;Fre315
110360771-51;Ana E A Gomes;AGome110;Gom769
078809267-48;Leonardo E G Soares;LSoar078;Soa670
101932218-11;Stephany C G Ramos;SRamo101;Ram399
086132039-93;Guilherme G A Batista;GBati086;Bat544
104059899-89;Fabio C G Souza;FSouz104;Sou334
047173825-75;Arthur C A Braga;ABrag047;Bra417
072040034-90;Renato A B Assis;RAssi072;Ass348
047308924-40;Davi A C Lacerda;DLace047;Lac247
056988746-22;Guilherme A G Mozany;GMoza056;Moz109
101289032-04;Clarissa A G Oliveira;COliv101;Oli467
073230521-50;Ian D B Vianna;IVian073;Via599
061762118-26;Lucas E A Borges;LBorg061;Bor977
071930043-34;Arthur D C Vianna;AVian071;Via333
093209301-04;Joao D A Silva;JSilv093;Sil476
098532011-02;Arthur D A Pinho;APinh098;Pin510
093592267-09;Ana E C Alves;AAlve093;Alv924
052497513-17;Hugo A E Lima;HLima052;Lim485
098733681-80;Renato E A Batista;RBati098;Bat753
090566711-88;Daniel F C Assis;DAssi090;Ass273
055054479-58;Joao F A Cruz;JCruz055;Cru901
091550569-46;Renato C E Guimarães;RGuim091;Gui514
059332814-19;Guilherme C B Amaral;GAmar059;Ama421
040052246-92;Stephanie D E Fraga;SFrag040;Fra643
040387052-28;Vinicius A E Freire;VFrei040;Fre185
099995634-66;Gabriel C E Guimarães;GGuim099;Gui363
089800111-40;Erckson F A Soares;ESoar089;Soa984
046303646-97;Clarissa D G Campos;CCamp046;Cam343
110408900-36;Davi B G Cruz;DCruz110;Cru842
058254278-44;Felipe G B Matos;FMato058;Mat940
078691905-68;Ian E B Oliveira;IOliv078;Oli336
095008346-10;Ana C D Ramos;ARamo095;Ram179
104223782-03;Pedro B A Couto;PCout104;Cou441
055002272-52;Erckson C D Fernandes;EFern055;Fer150
051755331-27;Daniel A D Batista;DBati051;Bat523
040574746-46;Eric D B Neves;ENeve040;Nev538
105455587-43;Weslley A G Matos;WMato105;Mat463
109806132-87;Clarissa D A Moreira;CMore109;Mor311
041012633-26;Ronilson E D Ritschel;RRits041;Rit131
084295789-10;Eric C D Freire;EFrei084;Fre436
061590277-24;Guilherme B C Moreira;GMore061;Mor122
106821324-16;Joao D G Nascimento;JNasc106;Nas443
091841851-51;Geovanna A B Moreira;GMore091;Mor350
053287112-48;Arthur D B Ritschel;ARits053;Rit268
098120365-44;Renato E B Mayrink;RMayr098;May760
106331329-01;Hugo E F Mozany;HMoza106;Moz453
070693226-49;Ronilson B G Fraga;RFrag070;Fra695
100954638-50;Davi G F Leite;DLeit100;Lei221
066858173-05;Geovanna D G Leão;GLeão066;Leã827
080168538-64;Felipe B D Leite;FLeit080;Lei509
113003513-90;Arthur A B Alves;AAlve113;Alv503
077286575-51;Carlos B A Campos;CCamp077;Cam978
104521977-35;Gustavo C C Lutkenhaus;GLutk104;Lut145
084656659-16;Stephany E D Leão;SLeão084;Leã793
081751870-50;Renato F F Pinho;RPinh081;Pin218
081750196-79;Petrônio G G Soares;PSoar081;Soa320
041222264-08;Felipe C D Borges;FBorg041;Bor757
104329902-97;Helena A F Leite;HLeit104;Lei748
102510685-45;Joao A F Campos;JCamp102;Cam427
048918452-51;Luis G D Amaral;LAmar048;Ama153
049173061-99;Petrônio C A Alves;PAlve049;Alv539
088563540-18;Raissa B A Mozany;RMoza088;Moz360
072241472-36;Renato C A Ritschel;RRits072;Rit816
074229268-64;Leonardo B G Leite;LLeit074;Lei740
100718284-16;Ian D E Alves;IAlve100;Alv267
114562232-24;Petrônio A A Braga;PBrag114;Bra804
111052941-70;Gustavo E E Vianna;GVian111;Via812
101496897-71;Daniel D E Viçoso;DViço101;Viç298
092668308-86;Felipe C D Fraga;FFrag092;Fra451
105625112-78;Geovanna A E Pires;GPire105;Pir846
078547892-69;Stephanie B E Borges;SBorg078;Bor497
051741900-90;Geovanna E F Santos;GSant051;San932
040315866-81;Maria C D Gomes;MGome040;Gom583
049862294-90;Luis E F Cruz;LCruz049;Cru919
086716814-68;Dario F C Mayrink;DMayr086;May911
044822445-94;Ítalo G D Guimarães;ÍGuim044;Gui207
061630862-62;Arthur C G Nunes;ANune061;Nun569
073540709-20;Clarissa E A Lacerda;CLace073;Lac823
074357599-40;Ítalo A G Moreira;ÍMore074;Mor347
066179261-37;Carlos A G Ramos;CRamo066;Ram480
070234484-65;Petrônio D D Cruz;PCruz070;Cru684
044214829-22;Gustavo B B Matos;GMato044;Mat951
062172884-03;Eric B F Pinho;EPinh062;Pin478
087455034-98;Daniel G C Neves;DNeve087;Nev472
096927122-22;Geovanna E A Silva;GSilv096;Sil533
090013878-85;Arthur B F Couto;ACout090;Cou372
073284571-43;Fabio E A Fernandes;FFern073;Fer366
085119799-31;Arthur F E Freire;AFrei085;Fre580
102901249-51;Arthur B B Nunes;ANune102;Nun760
088517319-96;Petrônio B F Alves;PAlve088;Alv943
043935290-06;Guilherme C A Mayrink;GMayr043;May138
098164736-67;Erckson B G Pinho;EPinh098;Pin161
061229544-05;Guilherme A E Souza;GSouz061;Sou735
072814565-52;Eric E D Leão;ELeão072;Leã396
077949462-23;Renato A B Silva;RSilv077;Sil252
064212711-61;Carlos E E Viçoso;CViço064;Viç329
081812624-16;Albert A G Mayrink;AMayr081;May861
053656493-55;Lucas A A Assis;LAssi053;Ass464
100512637-65;Gabriel F E Fraga;GFrag100;Fra544
110674665-03;Matheus C B Braga;MBrag110;Bra444
113435565-68;Ana F G Viçoso;AViço113;Viç387
058424388-98;Luis B B Oliveira;LOliv058;Oli252
044574036-73;Arthur A C Abdalla;AAbda044;Abd225
106951963-38;Felipe E E Oliveira;FOliv106;Oli669
077670966-06;Gabriel E F Soares;GSoar077;Soa971
080216363-45;Ronilson D C Borges;RBorg080;Bor636
096565935-33;Weslley B F Cruz;WCruz096;Cru574
065677355-26;Luis G G Pinho;LPinh065;Pin335
109795709-70;Luis G F Mayrink;LMayr109;May651
046809995-24;Pedro G A Nunes;PNune046;Nun400
068763236-35;Gabriel C F Guerra;GGuer068;Gue133
074501777-14;Ana A B Batista;ABati074;Bat401
075500124-92;Vinicius B B Leão;VLeão075;Leã301
113156868-22;Daniel F F Guimarães;DGuim113;Gui803
079571623-34;Ian G G Leão;ILeão079;Leã820
086107662-55;Guilherme E F Guerra;GGuer086;Gue978
059793911-93;Arthur C E Guerra;AGuer059;Gue153
072616871-04;Leonardo F D Braga;LBrag072;Bra297
112592474-06;Joao C B Abdalla;JAbda112;Abd388
106249583-81;Ítalo D F Lacerda;ÍLace106;Lac862
092171745-98;Stephanie C F Guerra;SGuer092;Gue431
092221799-48;Raissa C G Lima;RLima092;Lim147
086287432-45;Lucas D C Braga;LBrag086;Bra555
062974010-05;Clarissa A B Assis;CAssi062;Ass777
102214195-71;Guilherme D E Matos;GMato102;Mat434
102738519-73;Erik B A Vianna;EVian102;Via551
